	HGNC_ID	Ensembl	Gene_symbol	Source	Source_Date	Download_Date
217	HGNC:25084	ENSG00000198270	TMEM116	HPA	20210914	20210914
218	HGNC:26038	ENSG00000135956	TMEM127	HPA	20210914	20210914
219	HGNC:28201	ENSG00000132406	TMEM128	HPA	20210914	20210914
220	HGNC:25429	ENSG00000166448	TMEM130	HPA	20210914	20210914
221	HGNC:25633	ENSG00000164124	TMEM144	HPA	20210914	20210914
222	HGNC:37263	ENSG00000249242	TMEM150C	HPA	20210914	20210914
223	HGNC:28483	ENSG00000164180	TMEM161B	HPA	20210914	20210914
224	HGNC:16735	ENSG00000240849	TMEM189	HPA	20210914	20210914
225	HGNC:25605	ENSG00000139291	TMEM19	HPA	20210914	20210914
226	HGNC:33600	ENSG00000278558	TMEM191B	HPA	20210914	20210914
227	HGNC:33601	ENSG00000206140	TMEM191C	HPA	20210914	20210914
228	HGNC:18216	ENSG00000171227	TMEM37	HPA	20210914	20210914
229	HGNC:28462	ENSG00000072954	TMEM38A	HPA	20210914	20210914
230	HGNC:28472	ENSG00000170876	TMEM43	HPA	20210914	20210914
231	HGNC:25480	ENSG00000181458	TMEM45A	HPA	20210914	20210914
232	HGNC:1239	ENSG00000116209	TMEM59	HPA	20210914	20210914
233	HGNC:24465	ENSG00000087128	TMPRSS11E	HPA	20210914	20210914
234	HGNC:29808	ENSG00000137747	TMPRSS13	HPA	20210914	20210914
235	HGNC:25440	ENSG00000179104	TMTC2	HPA	20210914	20210914
236	HGNC:25904	ENSG00000125247	TMTC4	HPA	20210914	20210914
237	HGNC:18182	ENSG00000186815	TPCN1	HPA	20210914	20210914
238	HGNC:30698	ENSG00000163519	TRAT1	HPA	20210914	20210914
239	HGNC:12716	ENSG00000196689	TRPV1	HPA	20210914	20210914
240	HGNC:29455	ENSG00000189068	VSTM1	HPA	20210914	20210914
241	HGNC:3393	ENSG00000133216	EPHB2	HPA	20210914	20210914
242	HGNC:20611	ENSG00000188467	SLC24A5	HPA	20210914	20210914
243	HGNC:20820	ENSG00000162341	TPCN2	HPA	20210914	20210914
244	HGNC:29	ENSG00000165029	ABCA1	HPA	20210914	20210914
245	HGNC:38	ENSG00000141338	ABCA8	HPA	20210914	20210914
246	HGNC:40	ENSG00000085563	ABCB1	HPA	20210914	20210914
247	HGNC:45	ENSG00000005471	ABCB4	HPA	20210914	20210914
248	HGNC:50	ENSG00000150967	ABCB9	HPA	20210914	20210914
249	HGNC:52	ENSG00000124574	ABCC10	HPA	20210914	20210914
250	HGNC:60	ENSG00000069431	ABCC9	HPA	20210914	20210914
251	HGNC:74	ENSG00000118777	ABCG2	HPA	20210914	20210914
252		ENSG00000267001	AC006538.2	HPA	20210914	20210914
253	HGNC:171	ENSG00000115170	ACVR1	HPA	20210914	20210914
254	HGNC:173	ENSG00000121989	ACVR2A	HPA	20210914	20210914
255	HGNC:174	ENSG00000114739	ACVR2B	HPA	20210914	20210914
256	HGNC:25519	ENSG00000160746	ANO10	HPA	20210914	20210914
257	HGNC:634	ENSG00000167580	AQP2	HPA	20210914	20210914
258	HGNC:13816	ENSG00000075673	ATP12A	HPA	20210914	20210914
259	HGNC:24215	ENSG00000105726	ATP13A1	HPA	20210914	20210914
260	HGNC:30213	ENSG00000159363	ATP13A2	HPA	20210914	20210914
261	HGNC:804	ENSG00000143153	ATP1B1	HPA	20210914	20210914
262	HGNC:814	ENSG00000070961	ATP2B1	HPA	20210914	20210914
263	HGNC:816	ENSG00000067842	ATP2B3	HPA	20210914	20210914
264	HGNC:866	ENSG00000105929	ATP6V0A4	HPA	20210914	20210914
265	HGNC:855	ENSG00000185883	ATP6V0C	HPA	20210914	20210914
266	HGNC:13724	ENSG00000159720	ATP6V0D1	HPA	20210914	20210914
267	HGNC:21723	ENSG00000171130	ATP6V0E2	HPA	20210914	20210914
268	HGNC:853	ENSG00000116039	ATP6V1B1	HPA	20210914	20210914
269	HGNC:854	ENSG00000147416	ATP6V1B2	HPA	20210914	20210914
270	HGNC:856	ENSG00000155097	ATP6V1C1	HPA	20210914	20210914
271	HGNC:13527	ENSG00000100554	ATP6V1D	HPA	20210914	20210914
272	HGNC:18265	ENSG00000151418	ATP6V1G3	HPA	20210914	20210914
273	HGNC:870	ENSG00000123191	ATP7B	HPA	20210914	20210914
274	HGNC:12703	ENSG00000167995	BEST1	HPA	20210914	20210914
275	HGNC:1388	ENSG00000141837	CACNA1A	HPA	20210914	20210914
276	HGNC:1393	ENSG00000102001	CACNA1F	HPA	20210914	20210914
277	HGNC:1396	ENSG00000100346	CACNA1I	HPA	20210914	20210914
278	HGNC:1399	ENSG00000153956	CACNA2D1	HPA	20210914	20210914
