	HGNC_ID	Gene_symbol	Biological_process	Source	Source_Date	Download_Date
14770	HGNC:10894	PRMT5	Transcription regulation	HPA	20210914	20210914
14771	HGNC:18241	PRMT6	DNA damage	HPA	20210914	20210914
14772	HGNC:18241	PRMT6	DNA repair	HPA	20210914	20210914
14773	HGNC:18241	PRMT6	Host-virus interaction	HPA	20210914	20210914
14774	HGNC:18241	PRMT6	Transcription	HPA	20210914	20210914
14775	HGNC:18241	PRMT6	Transcription regulation	HPA	20210914	20210914
14776	HGNC:25557	PRMT7	Differentiation	HPA	20210914	20210914
14777	HGNC:25557	PRMT7	Transcription	HPA	20210914	20210914
14778	HGNC:25557	PRMT7	Transcription regulation	HPA	20210914	20210914
14779	HGNC:15748	PRND	Fertilization	HPA	20210914	20210914
14780	HGNC:9449	PRNP	Cell cycle	HPA	20210914	20210914
14781	HGNC:9449	PRNP	Growth arrest	HPA	20210914	20210914
14782	HGNC:9451	PROC	Blood coagulation	HPA	20210914	20210914
14783	HGNC:9451	PROC	Hemostasis	HPA	20210914	20210914
14784	HGNC:9452	PROCR	Blood coagulation	HPA	20210914	20210914
14785	HGNC:9452	PROCR	Hemostasis	HPA	20210914	20210914
14786	HGNC:9453	PRODH	Proline metabolism	HPA	20210914	20210914
14787	HGNC:17325	PRODH2	Proline metabolism	HPA	20210914	20210914
14788	HGNC:18454	PROK1	Angiogenesis	HPA	20210914	20210914
14789	HGNC:18455	PROK2	Biological rhythms	HPA	20210914	20210914
14790	HGNC:9456	PROS1	Blood coagulation	HPA	20210914	20210914
14791	HGNC:9456	PROS1	Fibrinolysis	HPA	20210914	20210914
14792	HGNC:9456	PROS1	Hemostasis	HPA	20210914	20210914
14793	HGNC:9459	PROX1	Biological rhythms	HPA	20210914	20210914
14794	HGNC:9459	PROX1	Transcription	HPA	20210914	20210914
14795	HGNC:9459	PROX1	Transcription regulation	HPA	20210914	20210914
14796	HGNC:26715	PROX2	Transcription	HPA	20210914	20210914
14797	HGNC:26715	PROX2	Transcription regulation	HPA	20210914	20210914
14798	HGNC:9460	PROZ	Blood coagulation	HPA	20210914	20210914
14799	HGNC:9460	PROZ	Hemostasis	HPA	20210914	20210914
14800	HGNC:17351	PRPF18	mRNA processing	HPA	20210914	20210914
14801	HGNC:17351	PRPF18	mRNA splicing	HPA	20210914	20210914
14802	HGNC:17896	PRPF19	DNA damage	HPA	20210914	20210914
