HGNC_ID	Gene_symbol	Previous_symbol
HGNC:26360	AMER2	FAM123A
HGNC:26771	AMER3	FAM123C
HGNC:474	AMY1A	AMY1
HGNC:475	AMY1B	AMY1
HGNC:476	AMY1C	AMY1
HGNC:477	AMY2A	AMY2
HGNC:478	AMY2B	AMY2
HGNC:479	AMYP1	AMY2P
HGNC:33976	ANAPC10P1	ANAPC10P
HGNC:24531	ANAPC15	C11orf51
HGNC:26976	ANAPC16	C10orf104
HGNC:19961	ANGEL1	KIAA0759
HGNC:489	ANGPTL1	ANGPT3
HGNC:491	ANGPTL3	ANGPT5
HGNC:24933	ANGPTL8	C19orf80
HGNC:492	ANK1	ANK
HGNC:493	ANK2	LQT4
HGNC:15803	ANKEF1	ANKRD5
HGNC:15492	ANKH	CCAL2
HGNC:15492	ANKH	CMDJ
HGNC:26812	ANKLE1	ANKRD41
HGNC:29101	ANKLE2	KIAA0692
HGNC:21268	ANKRD13A	ANKRD13
HGNC:22567	ANKRD19P	ANKRD19
HGNC:23665	ANKRD20A1	ANKRD20A
HGNC:31979	ANKRD20A2P	ANKRD20A2
HGNC:31981	ANKRD20A3P	ANKRD20A3
HGNC:31982	ANKRD20A4P	ANKRD20A4
HGNC:33833	ANKRD20A5P	ANKRD20A5
HGNC:23666	ANKRD20A8P	ANKRD20B
HGNC:39707	ANKRD20A10P	ANKRD20A4P1
HGNC:42024	ANKRD20A11P	C21orf81
HGNC:23756	ANKRD20A18P	C21orf126
HGNC:32319	ANKRD20A20P	CCDC29
HGNC:29186	ANKRD26	THC2
HGNC:39689	ANKRD26P3	LINC00414
HGNC:35167	ANKRD30BL	NCRNA00164
HGNC:35167	ANKRD30BL	ANKRD30BP3
HGNC:19722	ANKRD30BP1	C21orf110
HGNC:19722	ANKRD30BP1	ANKRD30BP
HGNC:16620	ANKRD30BP2	C21orf99
HGNC:13788	ANKRD33	C12orf7
HGNC:27639	ANKRD34A	ANKRD34
HGNC:29333	ANKRD36B	KIAA1641
HGNC:28169	ANKRD36BP1	ANKRD26L1
